"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"\Users\tseten14\Desktop\Project ITS\my-app\src\About Page\About.js", "JavaScript", -16, 0, 0, 0, 0, 0, -2, -18
"\Users\tseten14\Desktop\Project ITS\my-app\src\About Page\SherpaProfile.js", "JavaScript", -17, 0, 0, 0, 0, 0, -3, -20
"\Users\tseten14\Desktop\Project ITS\my-app\src\App.js", "JavaScript", -18, 0, 0, 0, 0, -1, -3, -22
"\Users\tseten14\Desktop\Project ITS\my-app\src\ContactUs Page\Contact.js", "JavaScript", -16, 0, 0, 0, 0, 0, -5, -21
"\Users\tseten14\Desktop\Project ITS\my-app\src\ContactUs Page\FormB.js", "JavaScript", -36, 0, 0, 0, 0, 0, -6, -42
"\Users\tseten14\Desktop\Project ITS\my-app\src\HOME PAGE\Button1.js", "JavaScript", -10, 0, 0, 0, 0, 0, -2, -12
"\Users\tseten14\Desktop\Project ITS\my-app\src\HOME PAGE\Card1.js", "JavaScript", -17, 0, 0, 0, 0, -1, -6, -24
"\Users\tseten14\Desktop\Project ITS\my-app\src\HOME PAGE\Description1.js", "JavaScript", -57, 0, 0, 0, 0, -9, -11, -77
"\Users\tseten14\Desktop\Project ITS\my-app\src\HOME PAGE\Dropdown.js", "JavaScript", -16, 0, 0, 0, 0, 0, -3, -19
"\Users\tseten14\Desktop\Project ITS\my-app\src\HOME PAGE\Home.js", "JavaScript", -32, 0, 0, 0, 0, 0, -5, -37
"\Users\tseten14\Desktop\Project ITS\my-app\src\HOME PAGE\data1.js", "JavaScript", -31, 0, 0, 0, 0, -4, -5, -40
"\Users\tseten14\Desktop\Project ITS\my-app\src\Local Components\Footer1.js", "JavaScript", -12, 0, 0, 0, 0, 0, -4, -16
"\Users\tseten14\Desktop\Project ITS\my-app\src\Local Components\Header1.js", "JavaScript", -16, 0, 0, 0, 0, 0, -2, -18
"\Users\tseten14\Desktop\Project ITS\my-app\src\Local Components\Navbar1.js", "JavaScript", -33, 0, 0, 0, 0, 0, -3, -36
"\Users\tseten14\Desktop\Project ITS\my-app\src\STAFF INFO PAGE\BCard.js", "JavaScript", -18, 0, 0, 0, 0, 0, -2, -20
"\Users\tseten14\Desktop\Project ITS\my-app\src\STAFF INFO PAGE\Staff.js", "JavaScript", -71, 0, 0, 0, 0, 0, -13, -84
"\Users\tseten14\Desktop\Project ITS\my-app\src\index.js", "JavaScript", -7, 0, 0, 0, 0, 0, -2, -9
"\Users\tseten14\Desktop\Project ITS\my-app\src\styles.css", "CSS", 0, -152, 0, 0, 0, -12, -31, -195
"d:\Node Projects\tseten-app\client\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"d:\Node Projects\tseten-app\client\package-lock.json", "JSON", 0, 0, 0, 29146, 0, 0, 1, 29147
"d:\Node Projects\tseten-app\client\package.json", "JSON", 0, 0, 0, 41, 0, 0, 1, 42
"d:\Node Projects\tseten-app\client\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 3, 21
"d:\Node Projects\tseten-app\client\src\About Page\About.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"d:\Node Projects\tseten-app\client\src\About Page\SherpaProfile.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"d:\Node Projects\tseten-app\client\src\App.js", "JavaScript", 18, 0, 0, 0, 0, 1, 3, 22
"d:\Node Projects\tseten-app\client\src\ContactUs Page\Contact.js", "JavaScript", 16, 0, 0, 0, 0, 0, 5, 21
"d:\Node Projects\tseten-app\client\src\ContactUs Page\FormB.js", "JavaScript", 36, 0, 0, 0, 0, 0, 6, 42
"d:\Node Projects\tseten-app\client\src\HOME PAGE\Button1.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"d:\Node Projects\tseten-app\client\src\HOME PAGE\Card1.js", "JavaScript", 17, 0, 0, 0, 0, 1, 6, 24
"d:\Node Projects\tseten-app\client\src\HOME PAGE\Description1.js", "JavaScript", 57, 0, 0, 0, 0, 9, 11, 77
"d:\Node Projects\tseten-app\client\src\HOME PAGE\Dropdown.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"d:\Node Projects\tseten-app\client\src\HOME PAGE\Home.js", "JavaScript", 32, 0, 0, 0, 0, 0, 5, 37
"d:\Node Projects\tseten-app\client\src\HOME PAGE\data1.js", "JavaScript", 31, 0, 0, 0, 0, 4, 5, 40
"d:\Node Projects\tseten-app\client\src\Local Components\Footer1.js", "JavaScript", 12, 0, 0, 0, 0, 0, 4, 16
"d:\Node Projects\tseten-app\client\src\Local Components\Header1.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"d:\Node Projects\tseten-app\client\src\Local Components\Navbar1.js", "JavaScript", 33, 0, 0, 0, 0, 0, 3, 36
"d:\Node Projects\tseten-app\client\src\STAFF INFO PAGE\BCard.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 20
"d:\Node Projects\tseten-app\client\src\STAFF INFO PAGE\Staff.js", "JavaScript", 71, 0, 0, 0, 0, 0, 13, 84
"d:\Node Projects\tseten-app\client\src\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"d:\Node Projects\tseten-app\client\src\styles.css", "CSS", 0, 152, 0, 0, 0, 12, 31, 195
"Total", "-", 0, 0, 38, 29187, 18, 0, 38, 29281
